TransactionID,Date,CustomerID,Amount,Category,PaymentMode,MerchantID,BranchID,Notes,Status,Location,DeviceID,Campaign,TaxAmount,DiscountAmount,is_refund,neg_non_refund,is_outlier
T100041,2025-01-08 00:41:00,C3558,3926.85,Groceries,Cash,M895,B23,,Completed,Delhi,D8020,New Launch,79.85,127.46,False,False,False
T100042,2025-01-08 00:42:00,C4753,474.77,Groceries,Cash,M331,B25,,Completed,Mumbai,D9917,New Launch,140.05,183.33,False,False,False
T100043,2025-01-08 00:43:00,C3047,4413.64,Electronics,Card,M865,B35,Discount applied,Completed,Bangalore,D8282,No Campaign,57.82,140.26,False,False,False
T100057,2025-01-08 00:57:00,C2528,2385.45,Groceries,NetBanking,M122,B24,,Completed,Bangalore,D5580,Summer Sale,408.12,279.35,False,False,False
T100063,2025-01-08 01:03:00,C3888,2441.09,Entertainment,Card,M359,B44,,Completed,Mumbai,D9299,New Launch,88.65,48.23,False,False,False
T100064,2025-01-08 01:04:00,C3214,3956.92,Clothing,Cash,M653,B36,,Completed,Kolkata,D2267,Festive Offer,435.79,272.04,False,False,False
T100067,2025-01-08 01:07:00,C1600,251.63,Food,UPI,M289,B10,Discount applied,Completed,Kolkata,D6579,Festive Offer,305.68,222.02,False,False,False
T100069,2025-01-08 01:09:00,C3061,4889.04,Entertainment,Card,M733,B24,,Completed,Kolkata,D3804,No Campaign,321.36,66.73,False,False,False
T100081,2025-01-08 01:21:00,C4499,2496.77,Groceries,UPI,M627,B23,,Completed,Mumbai,D9670,No Campaign,274.49,33.31,False,False,False
T100084,2025-01-08 01:24:00,C1034,1386.74,Groceries,Card,M858,B22,,Completed,Delhi,D6465,Festive Offer,261.36,231.12,False,False,False
T100085,2025-01-08 01:25:00,C3253,974.64,Clothing,NetBanking,M774,B15,,Completed,Bangalore,D1274,Summer Sale,475.83,140.21,False,False,False
T100088,2025-01-08 01:28:00,C2585,3023.95,Electronics,Cash,M893,B49,,Completed,Bangalore,D6639,New Launch,272.51,63.38,False,False,False
T100090,2025-01-08 01:30:00,C4459,3632.26,Health,UPI,M469,B38,Promo applied,Completed,Chennai,D3605,No Campaign,9.19,197.23,False,False,False
T100091,2025-01-08 01:31:00,C4073,226.38,Food,Cash,M454,B30,,Completed,Bangalore,D3659,Summer Sale,479.73,243.78,False,False,False
T100093,2025-01-08 01:33:00,C4461,2668.19,Electronics,Card,M705,B25,,Completed,Bangalore,D9554,No Campaign,309.6,150.83,False,False,False
T100096,2025-01-08 01:36:00,C4843,3066.13,Groceries,Cash,M106,B8,Promo applied,Completed,Bangalore,D2252,Summer Sale,127.84,185.58,False,False,False
T100098,2025-01-08 01:38:00,C2500,2092.9,Clothing,Cash,M138,B26,,Completed,Mumbai,D4533,Festive Offer,314.08,101.21,False,False,False
T100111,2025-01-08 01:51:00,C1455,990.75,Clothing,NetBanking,M185,B17,,Completed,Chennai,D9092,Festive Offer,304.06,77.11,False,False,False
T100116,2025-01-08 01:56:00,C4773,1368.27,Health,NetBanking,M587,B49,,Completed,Delhi,D7078,Summer Sale,346.56,70.83,False,False,False
T100119,2025-01-08 01:59:00,C3767,3987.94,Food,Card,M709,B31,,Completed,Delhi,D6137,New Launch,182.74,22.0,False,False,False
T100120,2025-01-08 02:00:00,C4820,2483.81,Groceries,NetBanking,M632,B9,Promo applied,Completed,Bangalore,D6351,New Launch,167.93,83.45,False,False,False
T100124,2025-01-08 02:04:00,C1791,1295.27,Food,Cash,M382,B42,Discount applied,Completed,Delhi,D1630,Festive Offer,190.53,52.14,False,False,False
T100128,2025-01-08 02:08:00,C3235,3089.94,Groceries,UPI,M575,B10,Discount applied,Completed,Chennai,D2215,Festive Offer,403.22,4.48,False,False,False
T100129,2025-01-08 02:09:00,C1379,4262.65,Electronics,NetBanking,M722,B32,Promo applied,Completed,Kolkata,D1477,Summer Sale,307.0,141.31,False,False,False
T100138,2025-01-08 02:18:00,C3568,4866.03,Health,Cash,M644,B22,Promo applied,Completed,Delhi,D7275,New Launch,121.52,172.77,False,False,False
T100146,2025-01-08 02:26:00,C2522,4417.15,Clothing,NetBanking,M451,B31,Promo applied,Completed,Delhi,D4798,Festive Offer,497.76,162.85,False,False,False
T100147,2025-01-08 02:27:00,C3640,3374.06,Groceries,NetBanking,M347,B30,,Completed,Mumbai,D9363,No Campaign,271.53,225.84,False,False,False
T100149,2025-01-08 02:29:00,C2698,960.43,Groceries,UPI,M679,B22,,Completed,Kolkata,D1987,Festive Offer,366.21,117.47,False,False,False
T100150,2025-01-08 02:30:00,C1418,4084.5,Entertainment,NetBanking,M363,B5,Promo applied,Completed,Mumbai,D9798,No Campaign,181.49,188.68,False,False,False
T100155,2025-01-08 02:35:00,C3278,1701.25,Food,Cash,M312,B46,,Completed,Chennai,D9755,Summer Sale,35.37,117.66,False,False,False
T100162,2025-01-08 02:42:00,C1779,1095.35,Entertainment,UPI,M577,B48,,Completed,Mumbai,D5487,New Launch,466.97,154.05,False,False,False
T100166,2025-01-08 02:46:00,C1502,4145.67,Electronics,Cash,M364,B37,Promo applied,Completed,Bangalore,D4877,New Launch,362.04,142.31,False,False,False
T100167,2025-01-08 02:47:00,C3454,2058.89,Electronics,UPI,M844,B45,,Completed,Chennai,D5489,Summer Sale,490.89,172.2,False,False,False
T100173,2025-01-08 02:53:00,C2895,4739.46,Food,Cash,M101,B46,Discount applied,Completed,Delhi,D1725,No Campaign,384.92,72.83,False,False,False
T100177,2025-01-08 02:57:00,C4810,1967.18,Entertainment,UPI,M875,B41,,Completed,Chennai,D6604,Summer Sale,118.32,108.78,False,False,False
T100178,2025-01-08 02:58:00,C3660,4114.24,Groceries,UPI,M124,B7,Promo applied,Completed,Mumbai,D5246,Summer Sale,96.45,294.83,False,False,False
T100183,2025-01-08 03:03:00,C4289,3315.56,Entertainment,Cash,M593,B48,Promo applied,Completed,Delhi,D9487,Festive Offer,174.66,199.05,False,False,False
T100189,2025-01-08 03:09:00,C1392,4040.15,Health,UPI,M148,B43,Promo applied,Completed,Kolkata,D2386,Festive Offer,273.16,164.84,False,False,False
T100190,2025-01-08 03:10:00,C1206,4028.8,Groceries,NetBanking,M888,B11,Discount applied,Completed,Chennai,D3412,Summer Sale,362.58,218.54,False,False,False
T100194,2025-01-08 03:14:00,C3939,2551.28,Food,Cash,M264,B13,Discount applied,Completed,Mumbai,D5148,Summer Sale,104.79,64.31,False,False,False
T100195,2025-01-08 03:15:00,C2484,2091.03,Groceries,Cash,M921,B13,,Completed,Chennai,D3298,Festive Offer,364.16,67.71,False,False,False
T100196,2025-01-08 03:16:00,C4762,4974.52,Electronics,NetBanking,M107,B37,,Completed,Delhi,D3655,Festive Offer,484.34,73.82,False,False,False
T100197,2025-01-08 03:17:00,C4646,746.73,Clothing,NetBanking,M116,B17,,Completed,Chennai,D7672,Festive Offer,273.06,60.94,False,False,False
T100198,2025-01-08 03:18:00,C1863,2967.71,Groceries,Card,M383,B10,,Completed,Chennai,D5774,No Campaign,98.21,166.63,False,False,False
T100199,2025-01-08 03:19:00,C3790,4430.46,Electronics,NetBanking,M539,B46,Discount applied,Completed,Chennai,D9587,New Launch,68.86,167.91,False,False,False
T100204,2025-01-08 03:24:00,C2923,4257.85,Entertainment,Cash,M875,B22,Discount applied,Completed,Bangalore,D2214,No Campaign,305.41,4.13,False,False,False
T100209,2025-01-08 03:29:00,C3796,2749.42,Food,UPI,M895,B25,,Completed,Bangalore,D8631,New Launch,35.37,97.38,False,False,False
T100211,2025-01-08 03:31:00,C4242,2477.57,Clothing,Cash,M824,B34,,Completed,Mumbai,D2810,No Campaign,435.83,218.8,False,False,False
T100213,2025-01-08 03:33:00,C2059,69.31,Groceries,UPI,M725,B35,Discount applied,Completed,Bangalore,D5427,New Launch,71.92,198.89,False,False,False
T100217,2025-01-08 03:37:00,C2722,3767.38,Groceries,UPI,M964,B44,,Completed,Mumbai,D3993,Festive Offer,133.26,3.92,False,False,False
T100222,2025-01-08 03:42:00,C3729,4644.94,Clothing,Card,M143,B47,,Completed,Mumbai,D2370,No Campaign,440.45,164.55,False,False,False
T100226,2025-01-08 03:46:00,C3693,3795.17,Electronics,Card,M819,B24,Promo applied,Completed,Delhi,D3939,Festive Offer,373.98,11.37,False,False,False
T100228,2025-01-08 03:48:00,C2051,3537.58,Health,NetBanking,M428,B30,,Completed,Kolkata,D1266,No Campaign,92.19,1.58,False,False,False
T100236,2025-01-08 03:56:00,C2529,3004.76,Groceries,Card,M409,B37,Discount applied,Completed,Mumbai,D7200,Festive Offer,168.71,9.11,False,False,False
T100238,2025-01-08 03:58:00,C4419,4861.97,Clothing,Card,M858,B47,,Completed,Chennai,D4116,Festive Offer,198.16,50.56,False,False,False
T100239,2025-01-08 03:59:00,C2496,1498.34,Food,Cash,M506,B25,,Completed,Kolkata,D1096,New Launch,490.53,77.77,False,False,False
T100247,2025-01-08 04:07:00,C3675,1977.99,Entertainment,NetBanking,M221,B6,,Completed,Chennai,D3486,No Campaign,275.04,227.29,False,False,False
T100251,2025-01-08 04:11:00,C4430,10.97,Health,Card,M492,B22,,Completed,Mumbai,D9732,Festive Offer,346.59,74.38,False,False,False
T100266,2025-01-08 04:26:00,C4743,3849.33,Food,Cash,M128,B25,,Completed,Mumbai,D2036,No Campaign,385.99,123.61,False,False,False
T100267,2025-01-08 04:27:00,C2631,1744.35,Clothing,Card,M358,B8,Promo applied,Completed,Chennai,D3992,No Campaign,141.1,222.79,False,False,False
T100270,2025-01-08 04:30:00,C4763,3050.72,Entertainment,Cash,M260,B7,Discount applied,Completed,Bangalore,D2374,New Launch,109.17,20.13,False,False,False
T100271,2025-01-08 04:31:00,C2136,3635.35,Food,Cash,M701,B3,,Completed,Delhi,D4872,Summer Sale,1.85,155.1,False,False,False
T100277,2025-01-08 04:37:00,C4581,1572.15,Entertainment,Cash,M775,B39,Discount applied,Completed,Kolkata,D7507,Summer Sale,455.61,91.99,False,False,False
T100282,2025-01-08 04:42:00,C2636,2661.87,Groceries,Cash,M525,B37,,Completed,Bangalore,D1631,Festive Offer,394.52,159.97,False,False,False
T100287,2025-01-08 04:47:00,C3160,4346.89,Electronics,NetBanking,M538,B40,Promo applied,Completed,Bangalore,D9318,Festive Offer,231.28,223.25,False,False,False
T100289,2025-01-08 04:49:00,C1641,736.86,Electronics,UPI,M944,B29,,Completed,Mumbai,D8207,Festive Offer,495.1,205.84,False,False,False
T100294,2025-01-08 04:54:00,C4296,3209.15,Groceries,Card,M336,B4,Discount applied,Completed,Bangalore,D7948,Festive Offer,275.99,123.48,False,False,False
T100303,2025-01-08 05:03:00,C2733,3137.18,Electronics,Card,M213,B39,Promo applied,Completed,Chennai,D5178,New Launch,276.04,41.81,False,False,False
T100306,2025-01-08 05:06:00,C1835,2969.61,Groceries,Card,M487,B5,,Completed,Kolkata,D3743,No Campaign,136.72,223.37,False,False,False
T100309,2025-01-08 05:09:00,C4255,2741.51,Electronics,UPI,M621,B40,Discount applied,Completed,Mumbai,D5163,No Campaign,2.78,200.33,False,False,False
T100310,2025-01-08 05:10:00,C1122,2106.38,Entertainment,Cash,M259,B16,,Completed,Bangalore,D1348,Festive Offer,454.66,221.82,False,False,False
T100312,2025-01-08 05:12:00,C1766,1178.58,Electronics,Card,M490,B13,Promo applied,Completed,Chennai,D9856,Summer Sale,456.05,241.93,False,False,False
T100315,2025-01-08 05:15:00,C4908,488.29,Health,Card,M372,B18,Promo applied,Completed,Delhi,D4048,New Launch,257.93,85.27,False,False,False
T100327,2025-01-08 05:27:00,C1186,3108.23,Entertainment,Cash,M755,B17,,Completed,Bangalore,D9764,No Campaign,315.02,34.39,False,False,False
T100335,2025-01-08 05:35:00,C2955,4445.0,Electronics,Cash,M981,B48,Discount applied,Completed,Mumbai,D7763,Festive Offer,143.73,59.62,False,False,False
T100337,2025-01-08 05:37:00,C2369,4517.98,Entertainment,NetBanking,M479,B1,Promo applied,Completed,Delhi,D6720,No Campaign,468.15,253.7,False,False,False
T100342,2025-01-08 05:42:00,C3911,884.08,Groceries,Cash,M202,B39,,Completed,Kolkata,D2866,No Campaign,123.16,246.21,False,False,False
T100345,2025-01-08 05:45:00,C1488,1314.12,Entertainment,NetBanking,M173,B14,Discount applied,Completed,Delhi,D4645,Festive Offer,347.85,185.44,False,False,False
T100349,2025-01-08 05:49:00,C3598,3712.74,Health,Cash,M604,B15,,Completed,Delhi,D9662,New Launch,444.85,154.97,False,False,False
T100352,2025-01-08 05:52:00,C1640,2086.59,Groceries,UPI,M221,B27,Promo applied,Completed,Kolkata,D1403,Summer Sale,200.51,198.79,False,False,False
T100355,2025-01-08 05:55:00,C2969,4653.15,Groceries,NetBanking,M136,B45,,Completed,Kolkata,D8254,No Campaign,192.23,278.06,False,False,False
T100356,2025-01-08 05:56:00,C3198,338.46,Entertainment,NetBanking,M578,B45,Discount applied,Completed,Delhi,D5178,No Campaign,496.49,161.37,False,False,False
T100360,2025-01-08 06:00:00,C1262,2103.81,Electronics,Cash,M796,B32,Promo applied,Completed,Chennai,D6448,Festive Offer,230.44,272.52,False,False,False
T100368,2025-01-08 06:08:00,C3049,3933.39,Entertainment,UPI,M643,B21,,Completed,Delhi,D3093,No Campaign,367.24,156.74,False,False,False
T100371,2025-01-08 06:11:00,C3301,1938.85,Groceries,Cash,M168,B12,,Completed,Mumbai,D9315,Festive Offer,402.08,114.93,False,False,False
T100373,2025-01-08 06:13:00,C1452,4820.07,Entertainment,Card,M341,B21,Discount applied,Completed,Kolkata,D8733,Summer Sale,455.95,216.25,False,False,False
T100383,2025-01-08 06:23:00,C2154,4161.57,Health,UPI,M459,B5,,Completed,Delhi,D3258,Festive Offer,209.74,235.91,False,False,False
T100387,2025-01-08 06:27:00,C4191,3498.34,Food,Cash,M245,B10,,Completed,Bangalore,D8676,Festive Offer,392.26,83.99,False,False,False
T100388,2025-01-08 06:28:00,C2696,3777.15,Electronics,Cash,M946,B37,Discount applied,Completed,Bangalore,D3677,Summer Sale,212.64,165.71,False,False,False
T100390,2025-01-08 06:30:00,C1627,312.24,Entertainment,Cash,M278,B44,Discount applied,Completed,Bangalore,D4568,Festive Offer,499.38,297.99,False,False,False
T100402,2025-01-08 06:42:00,C1098,733.53,Entertainment,Card,M545,B42,,Completed,Bangalore,D2490,Summer Sale,84.01,225.04,False,False,False
T100404,2025-01-08 06:44:00,C2884,3395.74,Clothing,UPI,M883,B30,Promo applied,Completed,Kolkata,D7240,Festive Offer,217.21,105.96,False,False,False
T100405,2025-01-08 06:45:00,C3961,1155.37,Clothing,UPI,M666,B17,Discount applied,Completed,Kolkata,D1210,No Campaign,204.7,290.6,False,False,False
T100407,2025-01-08 06:47:00,C1877,4557.92,Groceries,Card,M526,B8,,Completed,Delhi,D9420,New Launch,413.79,223.18,False,False,False
T100412,2025-01-08 06:52:00,C4791,144.5,Electronics,NetBanking,M422,B24,Discount applied,Completed,Kolkata,D1380,Summer Sale,284.02,230.74,False,False,False
T100418,2025-01-08 06:58:00,C1397,1864.86,Entertainment,Card,M137,B39,Discount applied,Completed,Mumbai,D1143,Festive Offer,151.05,57.5,False,False,False
T100420,2025-01-08 07:00:00,C1815,3064.43,Health,Card,M509,B42,Promo applied,Completed,Delhi,D8425,No Campaign,90.33,287.24,False,False,False
T100427,2025-01-08 07:07:00,C1400,465.16,Health,NetBanking,M142,B45,Promo applied,Completed,Chennai,D9997,No Campaign,338.85,254.15,False,False,False
T100434,2025-01-08 07:14:00,C1469,1935.78,Groceries,Cash,M134,B37,,Completed,Mumbai,D5936,New Launch,338.13,52.82,False,False,False
T100439,2025-01-08 07:19:00,C3085,2612.5,Clothing,NetBanking,M622,B15,Discount applied,Completed,Mumbai,D9058,New Launch,38.73,298.41,False,False,False
T100444,2025-01-08 07:24:00,C2799,1290.23,Health,NetBanking,M586,B41,Discount applied,Completed,Mumbai,D6825,New Launch,362.94,220.22,False,False,False
T100445,2025-01-08 07:25:00,C4354,1105.46,Groceries,UPI,M417,B2,,Completed,Mumbai,D4260,No Campaign,145.4,182.17,False,False,False
T100448,2025-01-08 07:28:00,C4348,4895.04,Electronics,UPI,M787,B5,,Completed,Delhi,D2781,Festive Offer,479.12,245.74,False,False,False
T100449,2025-01-08 07:29:00,C1797,1775.86,Electronics,Card,M471,B22,,Completed,Kolkata,D5656,New Launch,192.23,141.79,False,False,False
T100450,2025-01-08 07:30:00,C4680,2308.08,Health,Card,M278,B20,Discount applied,Completed,Delhi,D1648,New Launch,100.4,127.67,False,False,False
T100452,2025-01-08 07:32:00,C3926,3246.0,Health,Cash,M220,B23,,Completed,Delhi,D7690,No Campaign,450.66,277.43,False,False,False
T100457,2025-01-08 07:37:00,C4900,1161.52,Food,NetBanking,M451,B48,,Completed,Chennai,D4046,Summer Sale,262.58,194.51,False,False,False
T100458,2025-01-08 07:38:00,C1815,3089.1,Food,Card,M316,B49,Discount applied,Completed,Bangalore,D8715,Festive Offer,141.64,145.86,False,False,False
T100460,2025-01-08 07:40:00,C4587,3124.45,Entertainment,Card,M559,B45,Discount applied,Completed,Chennai,D1820,Festive Offer,240.07,186.69,False,False,False
T100461,2025-01-08 07:41:00,C1546,4887.33,Electronics,UPI,M424,B8,,Completed,Mumbai,D2966,No Campaign,330.13,41.41,False,False,False
T100463,2025-01-08 07:43:00,C4120,2202.26,Electronics,UPI,M432,B23,,Completed,Bangalore,D8558,Festive Offer,455.69,119.78,False,False,False
T100466,2025-01-08 07:46:00,C4243,3700.39,Health,UPI,M842,B18,,Completed,Chennai,D7611,Summer Sale,382.13,134.17,False,False,False
T100467,2025-01-08 07:47:00,C2243,161.71,Clothing,Card,M300,B13,,Completed,Chennai,D9375,Festive Offer,10.4,271.01,False,False,False
T100474,2025-01-08 07:54:00,C4963,3615.36,Entertainment,NetBanking,M487,B38,Discount applied,Completed,Chennai,D6596,New Launch,408.38,215.9,False,False,False
T100479,2025-01-08 07:59:00,C3544,611.4,Electronics,Cash,M219,B28,Promo applied,Completed,Delhi,D7245,Festive Offer,150.47,206.05,False,False,False
T100481,2025-01-08 08:01:00,C1180,3902.33,Electronics,Card,M576,B47,Promo applied,Completed,Delhi,D8106,No Campaign,84.76,189.57,False,False,False
T100483,2025-01-08 08:03:00,C4170,4783.36,Clothing,NetBanking,M931,B10,Discount applied,Completed,Mumbai,D9175,No Campaign,405.45,35.94,False,False,False
T100490,2025-01-08 08:10:00,C3975,1639.9,Entertainment,NetBanking,M855,B10,,Completed,Kolkata,D3954,Festive Offer,34.59,97.29,False,False,False
T100491,2025-01-08 08:11:00,C3006,4265.35,Food,NetBanking,M608,B25,,Completed,Delhi,D2158,New Launch,369.44,297.03,False,False,False
T100498,2025-01-08 08:18:00,C2758,3028.98,Electronics,UPI,M344,B32,Promo applied,Completed,Chennai,D7322,No Campaign,111.71,173.13,False,False,False
T100502,2025-01-08 08:22:00,C2895,2066.44,Food,Cash,M380,B40,Promo applied,Completed,Mumbai,D7538,No Campaign,368.19,260.52,False,False,False
T100506,2025-01-08 08:26:00,C4359,632.74,Groceries,UPI,M183,B12,Promo applied,Completed,Bangalore,D4740,No Campaign,465.43,168.6,False,False,False
T100507,2025-01-08 08:27:00,C3901,2248.36,Electronics,Card,M891,B34,,Completed,Bangalore,D1842,No Campaign,134.04,111.09,False,False,False
T100508,2025-01-08 08:28:00,C2686,1064.29,Electronics,Card,M589,B43,Discount applied,Completed,Bangalore,D7673,Festive Offer,413.77,123.07,False,False,False
T100513,2025-01-08 08:33:00,C2409,2067.89,Food,NetBanking,M558,B1,,Completed,Chennai,D7541,New Launch,5.95,267.22,False,False,False
T100516,2025-01-08 08:36:00,C4464,1188.8,Health,Card,M692,B35,Discount applied,Completed,Kolkata,D6533,New Launch,8.33,193.95,False,False,False
T100517,2025-01-08 08:37:00,C4882,297.93,Health,Cash,M649,B7,Promo applied,Completed,Mumbai,D6454,Summer Sale,421.15,205.95,False,False,False
T100519,2025-01-08 08:39:00,C4247,3980.63,Food,Cash,M469,B22,Discount applied,Completed,Mumbai,D1534,New Launch,290.04,81.57,False,False,False
T100522,2025-01-08 08:42:00,C2705,4082.79,Groceries,NetBanking,M595,B28,Promo applied,Completed,Kolkata,D1091,New Launch,338.15,17.74,False,False,False
T100526,2025-01-08 08:46:00,C2841,3234.49,Food,Cash,M275,B31,Promo applied,Completed,Bangalore,D8473,Summer Sale,424.47,225.31,False,False,False
T100527,2025-01-08 08:47:00,C1920,3002.28,Groceries,Cash,M955,B25,,Completed,Bangalore,D6271,No Campaign,396.72,128.17,False,False,False
T100528,2025-01-08 08:48:00,C3455,3572.23,Groceries,Card,M285,B20,,Completed,Mumbai,D1699,No Campaign,218.98,249.93,False,False,False
T100532,2025-01-08 08:52:00,C3950,3798.02,Groceries,Card,M701,B7,,Completed,Chennai,D1187,New Launch,313.69,129.25,False,False,False
T100534,2025-01-08 08:54:00,C1035,1413.87,Clothing,NetBanking,M171,B31,Discount applied,Completed,Delhi,D8746,New Launch,414.98,90.78,False,False,False
T100537,2025-01-08 08:57:00,C3368,529.0,Entertainment,Cash,M586,B9,,Completed,Bangalore,D9147,No Campaign,210.5,71.15,False,False,False
T100545,2025-01-08 09:05:00,C2166,971.06,Entertainment,Card,M365,B49,,Completed,Delhi,D2793,No Campaign,71.48,88.93,False,False,False
T100547,2025-01-08 09:07:00,C4425,314.53,Entertainment,NetBanking,M426,B18,,Completed,Kolkata,D6802,New Launch,271.77,280.71,False,False,False
T100548,2025-01-08 09:08:00,C1833,4987.04,Entertainment,NetBanking,M924,B43,,Completed,Bangalore,D8599,Festive Offer,278.78,210.71,False,False,False
T100553,2025-01-08 09:13:00,C1050,2362.57,Entertainment,Card,M361,B44,,Completed,Chennai,D6348,Summer Sale,314.98,113.78,False,False,False
T100554,2025-01-08 09:14:00,C4736,1652.02,Food,Cash,M579,B23,Discount applied,Completed,Kolkata,D9007,Festive Offer,175.7,211.98,False,False,False
T100559,2025-01-08 09:19:00,C3197,1758.2,Electronics,NetBanking,M556,B39,Discount applied,Completed,Bangalore,D1733,Summer Sale,48.15,225.08,False,False,False
T100561,2025-01-08 09:21:00,C3617,937.81,Groceries,NetBanking,M308,B20,,Completed,Delhi,D6677,No Campaign,195.15,116.26,False,False,False
T100562,2025-01-08 09:22:00,C4413,955.61,Entertainment,NetBanking,M126,B29,Discount applied,Completed,Mumbai,D4336,No Campaign,240.32,299.15,False,False,False
T100567,2025-01-08 09:27:00,C4854,968.33,Groceries,UPI,M318,B6,Promo applied,Completed,Chennai,D6926,New Launch,25.96,20.24,False,False,False
T100571,2025-01-08 09:31:00,C3660,3004.08,Electronics,UPI,M996,B27,,Completed,Chennai,D6030,Festive Offer,224.47,104.58,False,False,False
T100574,2025-01-08 09:34:00,C4124,3659.8,Entertainment,Cash,M223,B35,Discount applied,Completed,Bangalore,D3062,No Campaign,224.8,242.03,False,False,False
T100575,2025-01-08 09:35:00,C2595,1370.55,Clothing,UPI,M138,B7,,Completed,Bangalore,D1091,Summer Sale,79.66,7.74,False,False,False
T100576,2025-01-08 09:36:00,C4051,2863.64,Groceries,NetBanking,M917,B37,,Completed,Mumbai,D1070,No Campaign,26.95,124.3,False,False,False
T100581,2025-01-08 09:41:00,C1773,3972.47,Electronics,Card,M129,B11,Promo applied,Completed,Mumbai,D8576,No Campaign,51.99,235.05,False,False,False
T100586,2025-01-08 09:46:00,C1046,3096.7,Groceries,UPI,M271,B23,,Completed,Kolkata,D8409,Summer Sale,396.92,183.57,False,False,False
T100588,2025-01-08 09:48:00,C3870,4607.49,Electronics,UPI,M262,B4,Promo applied,Completed,Chennai,D4973,New Launch,96.61,129.32,False,False,False
T100592,2025-01-08 09:52:00,C1268,3756.81,Food,NetBanking,M201,B15,,Completed,Kolkata,D8687,Festive Offer,53.84,51.31,False,False,False
T100594,2025-01-08 09:54:00,C1635,3173.12,Entertainment,NetBanking,M139,B47,,Completed,Delhi,D3892,Summer Sale,256.7,271.16,False,False,False
T100597,2025-01-08 09:57:00,C2682,4113.09,Entertainment,Card,M468,B11,Discount applied,Completed,Bangalore,D8494,No Campaign,328.23,275.78,False,False,False
T100601,2025-01-08 10:01:00,C2810,2241.09,Food,UPI,M192,B3,,Completed,Chennai,D4519,New Launch,337.83,276.16,False,False,False
T100603,2025-01-08 10:03:00,C2081,77.59,Groceries,Cash,M665,B11,Discount applied,Completed,Chennai,D5267,New Launch,302.27,203.23,False,False,False
T100606,2025-01-08 10:06:00,C1740,1792.97,Groceries,Card,M634,B38,,Completed,Kolkata,D9504,Festive Offer,270.62,88.97,False,False,False
T100611,2025-01-08 10:11:00,C2150,1968.93,Health,Card,M648,B22,,Completed,Mumbai,D1535,Summer Sale,80.4,36.53,False,False,False
T100613,2025-01-08 10:13:00,C2931,3606.21,Food,NetBanking,M809,B41,Discount applied,Completed,Mumbai,D9628,New Launch,339.92,39.0,False,False,False
T100616,2025-01-08 10:16:00,C2081,4474.38,Clothing,Cash,M612,B42,Promo applied,Completed,Chennai,D2060,New Launch,214.23,224.41,False,False,False
T100628,2025-01-08 10:28:00,C4956,384.56,Clothing,UPI,M941,B24,,Completed,Mumbai,D1230,No Campaign,366.55,169.49,False,False,False
T100634,2025-01-08 10:34:00,C1580,567.41,Health,NetBanking,M315,B43,Promo applied,Completed,Kolkata,D2948,Festive Offer,313.88,160.06,False,False,False
T100635,2025-01-08 10:35:00,C3837,2059.33,Food,NetBanking,M996,B5,Discount applied,Completed,Chennai,D1468,Summer Sale,402.78,216.32,False,False,False
T100638,2025-01-08 10:38:00,C4147,40.15,Food,UPI,M122,B33,Promo applied,Completed,Bangalore,D4604,Festive Offer,47.62,229.36,False,False,False
